scenario_id,n_modes,n_angles,harmbg_power,harmbg_residual,harmbg_r2
N4_cycle_alpha0.8,8,12,1.7274946848614723,0.2725053151385277,0.06690826331074429
N4_cycle_alpha0.8,8,24,1.6971610160500612,0.3028389839499388,0.06669935846564712
N4_cycle_alpha0.8,8,48,1.6971610160507147,0.3028389839492853,0.06669935846569242
N4_cycle_alpha0.8,16,12,2.7706831852218183,0.7706831852218183,0.04782468330043044
N4_cycle_alpha0.8,16,24,2.536687968213367,0.536687968213367,0.05837339940248798
N4_cycle_alpha0.8,16,48,2.5366879682141374,0.5366879682141374,0.058373399402493975
N4_cycle_alpha0.8,32,12,2.6125265885875724,0.6125265885875724,0.0709850031042557
N4_cycle_alpha0.8,32,24,2.530003649703105,0.5300036497031049,0.07394281565888838
N4_cycle_alpha0.8,32,48,2.5300036497037963,0.5300036497037963,0.07394281565890548
N5_cycle_alpha0.8,8,12,0.27995230036591956,1.7200476996340806,0.0512590401489621
N5_cycle_alpha0.8,8,24,0.27995230036592017,1.7200476996340799,0.05125904014896121
N5_cycle_alpha0.8,8,48,0.27995230036591956,1.7200476996340806,0.0512590401489621
N5_cycle_alpha0.8,16,12,0.3383739294023186,1.6616260705976815,0.07237527091789453
N5_cycle_alpha0.8,16,24,0.3383739294023186,1.6616260705976815,0.07237527091789464
N5_cycle_alpha0.8,16,48,0.33837392940231814,1.661626070597682,0.07237527091789442
N5_cycle_alpha0.8,32,12,0.34616002478828145,1.6538399752117185,0.075586765462748
N5_cycle_alpha0.8,32,24,0.34616002478828145,1.6538399752117185,0.075586765462748
N5_cycle_alpha0.8,32,48,0.34616002478828145,1.6538399752117185,0.07558676546274778
N5_star_alpha0.8,8,12,-0.5346923466777843,2.5346923466777844,0.9928508687012739
N5_star_alpha0.8,8,24,-0.534753392458834,2.534753392458834,0.9928416324207149
N5_star_alpha0.8,8,48,-0.534753392458834,2.534753392458834,0.992841632420715
N5_star_alpha0.8,16,12,-0.5484983352233863,2.5484983352233863,0.995638496820236
N5_star_alpha0.8,16,24,-0.5485531595411152,2.548553159541115,0.9956329143647147
N5_star_alpha0.8,16,48,-0.5485531595411152,2.548553159541115,0.9956329143647148
N5_star_alpha0.8,32,12,-0.5495636898093648,2.5495636898093648,0.9957954433744565
N5_star_alpha0.8,32,24,-0.5496179941884328,2.549617994188433,0.9957900868782502
N5_star_alpha0.8,32,48,-0.5496179941884328,2.549617994188433,0.9957900868782502
