run_tag,scenario_id,bond_cutoff,points,valid_points,best_lambda,best_slope,best_power,best_target_error,mean_target_error,median_target_error
N4_cutoff_chi34,N4_star_alpha0.8,4,5,5,0.4,-2.3259556156282013,2.3259556156282013,0.3259556156282013,0.5798664713550405,0.686519873705445
N4_cutoff_chi34,N4_star_alpha0.8,3,5,5,0.6,-2.523327248028716,2.523327248028716,0.5233272480287159,0.6266330319543891,0.5657683110870986
N4_cutoff_chi34,N4_path_alpha0.8,3,5,5,0.6,-3.415244133444257,3.415244133444257,1.415244133444257,1.7410122576247162,1.8056922614863327
N4_cutoff_chi34,N4_cycle_alpha0.8,3,5,5,0.4,-3.4492317135828316,3.4492317135828316,1.4492317135828316,1.8114898293361825,1.8039632231153142
N4_cutoff_chi34,N4_cycle_alpha0.8,4,5,5,0.4,-3.68532851543187,3.68532851543187,1.6853285154318698,1.8635861471168311,1.8567579296218861
N4_cutoff_chi34,N4_path_alpha0.8,4,5,5,0.6,-3.717770402932608,3.717770402932608,1.717770402932608,1.8715609359252938,1.8439464098095972
N4_cutoff_chi5_pathstar,N4_star_alpha0.8,5,5,5,1.0,-2.3763294311450114,2.3763294311450114,0.3763294311450114,0.6155852632970701,0.49583239377246136
N4_cutoff_chi5_pathstar,N4_path_alpha0.8,5,5,5,0.2,-3.804950448927546,3.804950448927546,1.804950448927546,1.9198806775456618,1.9079165128692765
N5_cutoff_chi34_pathstar,N5_star_alpha0.8,3,3,3,0.2,-2.536099127541617,2.536099127541617,0.5360991275416169,0.6956283672060776,0.6606102142265509
N5_cutoff_chi34_pathstar,N5_star_alpha0.8,4,3,3,0.6,-2.7542130400289166,2.7542130400289166,0.7542130400289166,0.8985004740286322,0.7595292671740079
N5_cutoff_chi34_pathstar,N5_path_alpha0.8,4,3,3,1.0,-3.1184077749234027,3.1184077749234027,1.1184077749234027,1.1271211151162284,1.1261780118920535
N5_cutoff_chi34_pathstar,N5_path_alpha0.8,3,3,3,1.0,-3.1184230657586904,3.1184230657586904,1.1184230657586904,1.1271268557042704,1.1261799375564472
