scenario_id,N,topology,alpha,lambda,spin2_power,spin2_slope,spin2_target_error,fit_quality,num_modes,method,lambda_out,lambda_in,edge_count
N5_cycle_alpha0.8,5,cycle,0.8,0.2,3.8338084553649807,-3.8338084553649807,1.8338084553649807,False,128,bond_correlator,0.06577096382085208,0.06577096382085178,5
N5_cycle_alpha0.8,5,cycle,0.8,0.4,4.028757645956564,-4.028757645956564,2.0287576459565644,False,128,bond_correlator,0.2202648382904356,0.22026483829043617,5
N5_cycle_alpha0.8,5,cycle,0.8,0.6,3.7545739642457936,-3.7545739642457936,1.7545739642457936,False,128,bond_correlator,0.3936943079070561,0.39369430790705634,5
N5_cycle_alpha0.8,5,cycle,0.8,0.8,3.8588911271981314,-3.8588911271981314,1.8588911271981314,False,128,bond_correlator,0.5446377642658334,0.5446377642658341,5
N5_cycle_alpha0.8,5,cycle,0.8,1.0,3.9453897364027575,-3.9453897364027575,1.9453897364027575,False,128,bond_correlator,0.6551530273471132,0.6551530273471109,5
N5_cycle_alpha0.8,5,cycle,0.8,1.2,3.9956027313967537,-3.9956027313967537,1.9956027313967537,False,128,bond_correlator,0.720997616595665,0.7209976165956673,5
N5_path_alpha0.8,5,path,0.8,0.2,3.1367775637976734,-3.1367775637976734,1.1367775637976734,False,128,bond_correlator,0.011909281667853159,0.04513400160623923,4
N5_path_alpha0.8,5,path,0.8,0.4,3.1320291425629487,-3.1320291425629487,1.1320291425629487,False,128,bond_correlator,0.044981312105501055,0.15823640530570166,4
N5_path_alpha0.8,5,path,0.8,0.6,3.126179937556447,-3.126179937556447,1.1261799375564472,False,128,bond_correlator,0.09285331302024455,0.29710300614383567,4
N5_path_alpha0.8,5,path,0.8,0.8,3.121147441391331,-3.121147441391331,1.1211474413913312,False,128,bond_correlator,0.1482117496228958,0.4309550234756362,4
N5_path_alpha0.8,5,path,0.8,1.0,3.1184230657586904,-3.1184230657586904,1.1184230657586904,False,128,bond_correlator,0.20439404137291067,0.5447164205688512,4
N5_path_alpha0.8,5,path,0.8,1.2,3.1186252022703695,-3.1186252022703695,1.1186252022703695,False,128,bond_correlator,0.2558757800329945,0.6323839388021845,4
N5_star_alpha0.8,5,star,0.8,0.2,2.536099127541617,-2.536099127541617,0.5360991275416169,False,128,bond_correlator,0.9731649004022019,0.3112538781259784,4
N5_star_alpha0.8,5,star,0.8,0.4,2.6417502393313677,-2.6417502393313677,0.6417502393313677,False,128,bond_correlator,1.0096924941800582,0.32581291012540614,4
N5_star_alpha0.8,5,star,0.8,0.6,2.890175759850065,-2.890175759850065,0.8901757598500648,False,128,bond_correlator,1.0946586906348548,0.3605400063577629,4
N5_star_alpha0.8,5,star,0.8,0.8,2.4070590827994596,-2.4070590827994596,0.40705908279945957,False,128,bond_correlator,1.1834696971886487,0.39813787038641735,4
N5_star_alpha0.8,5,star,0.8,1.0,2.660610214226551,-2.660610214226551,0.6606102142265509,False,128,bond_correlator,1.2513363571755851,0.42777198127175714,4
N5_star_alpha0.8,5,star,0.8,1.2,2.6268192836116087,-2.6268192836116087,0.6268192836116087,False,128,bond_correlator,1.2889106171549656,0.44451728127442885,4
