scenario_id,N,topology,lambda,bond_cutoff,backend,effective_backend,source_site,raw_power,raw_residual,bg_power,bg_residual,covbg_power,covbg_residual,covariance_delta_l2,covariance_delta_maxabs
N4_cycle_alpha0.8,4,cycle,0.4,4,auto,dense,2,-0.0129935411345302,2.0129935411345303,-6.803100539407295e-15,2.0000000000000067,-0.3513019380978935,2.3513019380978935,0.1114829450527046,0.0394047112766206
N4_cycle_alpha0.8,4,cycle,1.0,4,auto,dense,1,-0.0006863124658309,2.000686312465831,-6.803100539407295e-15,2.0000000000000067,-0.3329378697092058,2.332937869709206,0.3598284770836702,0.1268496936613354
N4_cycle_alpha0.8,4,cycle,0.4,5,auto,sparse,2,-0.01299354230849,2.01299354230849,-6.803100539407295e-15,2.0000000000000067,-0.3513019375598843,2.3513019375598843,0.1114829774104202,0.0394047227991363
N4_cycle_alpha0.8,4,cycle,1.0,5,auto,sparse,1,-0.0006854617724784,2.0006854617724783,-6.803100539407295e-15,2.0000000000000067,-0.3329378976984954,2.3329378976984954,0.3598614727391462,0.1268613263174402
N4_path_alpha0.8,4,path,0.4,4,auto,dense,1,-0.0102837332177159,2.010283733217716,-0.6599423002179456,2.6599423002179456,-1.799389637799852,3.799389637799852,0.0662352381043176,0.0527706209054909
N4_path_alpha0.8,4,path,1.0,4,auto,dense,1,-0.0325868027827669,2.032586802782767,-0.6599423002179474,2.6599423002179474,-1.8686007880092343,3.8686007880092346,0.2126836961285476,0.1519998559389859
N4_path_alpha0.8,4,path,0.4,5,auto,dense,1,-0.0102837334804648,2.010283733480465,-0.6599423002179465,2.6599423002179465,-1.799389639296527,3.799389639296527,0.0662352567137692,0.0527706339769383
N4_path_alpha0.8,4,path,1.0,5,auto,dense,1,-0.0325864426513525,2.0325864426513527,-0.6599423002179456,2.6599423002179456,-1.868600500450306,3.868600500450306,0.2127038934526045,0.1520144652828988
N4_star_alpha0.8,4,star,0.4,4,auto,dense,0,-0.0151352098468449,2.015135209846845,6.3355488586007686e-15,1.9999999999999936,-0.3516194083091431,2.3516194083091433,0.1098414636277403,0.0517797625244206
N4_star_alpha0.8,4,star,1.0,4,auto,dense,0,-0.0383999404757139,2.038399940475714,6.3355488586007686e-15,1.9999999999999936,-0.3516194083091449,2.351619408309145,0.335798976987564,0.1582971558289414
N4_star_alpha0.8,4,star,0.4,5,auto,dense,0,-0.0151352104806045,2.0151352104806044,6.3355488586007686e-15,1.9999999999999936,-0.3516194083091435,2.3516194083091433,0.1098414967046433,0.0517797781170222
N4_star_alpha0.8,4,star,1.0,5,auto,dense,0,-0.0383990973330629,2.038399097333063,6.3355488586007686e-15,1.9999999999999936,-0.3516194083091435,2.3516194083091433,0.3358335664927082,0.1583134614780385
N5_cycle_alpha0.8,5,cycle,0.6,4,auto,sparse,3,-0.0160530955529178,2.016053095552918,2.6635628595747783e-14,1.9999999999999736,-0.3902945021559818,2.3902945021559816,0.1987676588328283,0.0716373759379944
N5_cycle_alpha0.8,5,cycle,0.8,4,auto,sparse,3,-0.0262579317297769,2.026257931729777,2.6635628595747783e-14,1.9999999999999736,-0.386926077116285,2.386926077116285,0.2768669001302004,0.1003828823253006
N5_path_alpha0.8,5,path,0.6,4,auto,sparse,2,-0.0227860061114702,2.0227860061114704,-0.4538602112686456,2.453860211268646,-1.0116541246039357,3.0116541246039357,0.1605326587416754,0.073648819674894
N5_path_alpha0.8,5,path,0.8,4,auto,sparse,2,-0.030554452541776,2.030554452541776,-4.072231950963148e-15,2.000000000000004,-0.9766116729330748,2.9766116729330747,0.2303689825383411,0.1034354084415966
N5_star_alpha0.8,5,star,0.6,4,auto,sparse,0,-0.1443318586154128,2.1443318586154128,-6.803100539407295e-15,2.0000000000000067,-0.5291926161097719,2.529192616109772,0.4111154408293134,0.1780182078647891
N5_star_alpha0.8,5,star,0.8,4,auto,sparse,0,-0.131930660639618,2.1319306606396182,-6.803100539407295e-15,2.0000000000000067,-0.5291926162157021,2.529192616215702,0.4516893815614535,0.1955872395503057
