topology,gamma_corr,n_points,best_lambda,best_spin2_power,best_spin2_slope,best_spin2_residual,best_spin2_r2,best_postulate_residual,mean_postulate_residual,max_postulate_residual
cycle,0.0,5,1.0,0.010380985115723647,-0.010380985115723647,1.9896190148842763,0.5672991858156012,3.1086244689504383e-15,2.6423307986078726e-15,6.994405055138486e-15
cycle,0.02,5,1.0,0.00792711792271991,-0.00792711792271991,1.9920728820772802,0.4385761625023792,2.220446049250313e-16,1.4654943925052066e-15,5.329070518200751e-15
cycle,0.05,5,1.0,0.00427175210038012,-0.00427175210038012,1.99572824789962,0.19016135427413405,2.7755575615628914e-15,1.0436096431476472e-15,2.7755575615628914e-15
cycle,0.1,5,1.0,-0.0017155158495052029,0.0017155158495052029,2.0017155158495052,0.03869011846925985,1.4432899320127035e-15,6.861178292183467e-15,2.6756374893466273e-14
path,0.0,5,0.2,-0.0005731895025743405,0.0005731895025743405,2.0005731895025742,0.9667656258233882,0.009146544437886539,0.0869391331391968,0.34474189659312837
path,0.02,5,0.2,-0.0020181197252030214,0.0020181197252030214,2.002018119725203,0.9667925659253985,0.009058851340168705,0.08703859182190432,0.34503970242304494
path,0.05,5,0.2,-0.0033983824285433537,0.0033983824285433537,2.0033983824285433,0.9666703314233281,0.008936364983472722,0.08714366892328554,0.3455164089301801
path,0.1,5,0.2,-0.0034950326387056282,0.0034950326387056282,2.0034950326387055,0.9659347305595768,0.008755786775115793,0.08720565564048768,0.34639006053313504
star,0.0,5,0.2,-0.0007902395632457683,0.0007902395632457683,2.000790239563246,0.9889470455755168,0.01815386355077142,0.3219324194152733,0.7455093407822293
star,0.02,5,0.2,-0.001844850357632797,0.001844850357632797,2.001844850357633,0.9889638480797223,0.017954351736925833,0.3219153183171537,0.7460994462769206
star,0.05,5,0.2,-0.0029102204709535884,0.0029102204709535884,2.0029102204709535,0.9889808090082833,0.017677674018637957,0.3218518994509191,0.7470923832046406
star,0.1,5,0.2,-0.003212709183648474,0.003212709183648474,2.0032127091836487,0.9889856223144405,0.017275389475599034,0.32165772428293027,0.7489970203740048
