model,k,power
baseline,1.5707963267948966,0.004383841126760794
baseline,1.7453292519943295,0.0043840819511257725
baseline,1.9198621771937625,0.004384337776652578
baseline,2.0943951023931953,0.004384605898082021
baseline,2.2689280275926285,0.004384883527079803
baseline,2.443460952792061,0.004385167830508671
baseline,2.617993877991494,0.004385455968413198
baseline,2.792526803190927,0.004385745131053636
baseline,2.9670597283903604,0.004386032574355356
baseline,3.141592653589793,0.004386315653183341
correlated,1.5707963267948966,0.004339572954198197
correlated,1.7453292519943295,0.004340397011190301
correlated,1.9198621771937625,0.0043412723994183154
correlated,2.0943951023931953,0.004342189861979398
correlated,2.2689280275926285,0.004343139857702851
correlated,2.443460952792061,0.00434411269211044
correlated,2.617993877991494,0.004345098647393392
correlated,2.792526803190927,0.004346088109135474
correlated,2.9670597283903604,0.004347071687614485
correlated,3.141592653589793,0.00434804033166152
