lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status
0.1,0.007796952150604719,0.9873576911282207,0.9873576911282207,0.9934266523117677,0.9856809522385575,0.008271053118183906,0.018158826810190216,✓
0.17368421052631577,0.009011578493098304,0.9873576911282207,0.9569774544781215,0.9810749203388482,0.9597290333652813,0.024112684042793934,0.05245095911799849,✓
0.24736842105263157,0.03516547006052895,1.003282815178676,0.9284109632996704,0.9641747969788451,0.9261271138769988,0.04644542039136734,0.09970673168955038,✓
0.32105263157894737,0.01565040623104008,0.9873576911282207,0.9147578608982045,0.9447773492645817,0.8900945758384149,0.07306304863574967,0.15434514930346155,✓
0.39473684210526316,0.09633087995711553,0.9873576911282207,0.8184675597510251,0.9248656227172302,0.8557580433729826,0.10154769438562758,0.21069325281841025,~
0.46842105263157896,0.08240612599906016,0.9873576911282207,0.818467559751025,0.9060736542901349,0.8257533910393157,0.12957879481587486,0.2637691392665262,~
0.5421052631578946,0.1897970584705545,0.9719302272043421,0.6911503837897546,0.8895723019192794,0.801422954232647,0.15516964984530965,0.30972572709357954,✗
0.6157894736842104,0.14980227068595797,0.9719302272043421,0.7232969132683478,0.876076894213299,0.7832025083934349,0.17681539515144631,0.34601123158312647,✗
0.6894736842105262,0.02547952172634016,0.9719302272043421,0.8405883046091609,0.8659155321153227,0.770963033281014,0.1935588156576974,0.3713488144565531,✓
0.763157894736842,0.42293517720180573,0.9873576911282207,1.2959069696057894,0.859112604492404,0.7642363517789803,0.20498971085233583,0.38561965757093963,✗
0.8368421052631578,0.21231043485350265,0.9719302272043421,1.0724747334668605,0.8554651726235448,0.7623373869897664,0.211193324991237,0.3896939482869412,✗
0.9105263157894736,0.39398886357446494,0.9284109632996701,1.196221818097652,0.854607522203376,0.7644230763638681,0.21265972101112626,0.3852201269823986,✗
0.9842105263157893,0.7544202232118533,1.003282815178676,1.658760921095411,0.8560683929710914,0.7695311016023413,0.2101637091888421,0.3743657954788463,✗
1.0578947368421052,0.47651044663207065,1.2694598885934265,1.7522122405937437,0.8593272662429722,0.7766352719934068,0.20462625137576665,0.35950712010748304,✗
1.131578947368421,0.13420379338798738,1.9438604544086846,1.504924222768014,0.8638725797660656,0.7847395550918784,0.19697265462285743,0.3428851704864657,✗
1.2052631578947368,0.2926376304110041,1.2694598885934265,1.52959511166585,0.8692582415160388,0.7930072583388027,0.18800764870508968,0.32627813220588797,✗
1.2789473684210526,0.22770798266397863,1.2959069696057899,1.481036536692331,0.8751485897180193,0.8008914969246772,0.17832887430323244,0.3107607332576798,✗
1.3526315789473684,0.26815518118071857,1.2959069696057899,1.5358897417550097,0.881339631081813,0.8082148854202497,0.16829546285768357,0.2966183839834058,✗
1.4263157894736842,0.6522828835675942,1.2694598885934267,1.9937030301627534,0.8877481482356379,0.8151569261776511,0.15805700635289702,0.28344706995421076,✗
1.5,1.291281443320531,1.2959069696057897,2.8646364591285876,0.8943690453901244,0.8221441590698146,0.1476333443592618,0.2704146209762865,✗
